epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0062,1.78283,5.27704,1.57448,0.06772,0.07407,0.08799,0.08721,0.97633,5.51271,1.19094,0.0964,0.0004,0.0004
2,6.27592,1.61894,5.66601,1.49334,0.22637,0.07407,0.11791,0.1176,1.17002,5.37461,1.21284,0.0918998,0.00089978,0.00089978
3,8.62509,1.78208,5.36652,1.64217,0.30705,0.25926,0.29431,0.28392,0.89912,4.49223,1.0795,0.0873986,0.00139863,0.00139863
4,10.9217,1.66196,3.66986,1.6136,0.66667,0.25212,0.27617,0.25985,0.90161,4.56859,1.07119,0.0828958,0.00189583,0.00189583
5,13.249,1.35864,2.92608,1.34138,0.40299,0.39565,0.37474,0.32358,0.7939,3.41298,1.0084,0.0783906,0.00239063,0.00239063
6,15.58,1.33206,2.11554,1.41027,0.85818,0.53974,0.60648,0.50375,0.77591,2.28807,1.04456,0.0738823,0.00288233,0.00288233
7,17.7886,1.19526,1.51246,1.1937,0.73281,0.60082,0.63289,0.53336,0.75748,1.81202,1.04759,0.0693702,0.00337019,0.00337019
8,20.0484,1.19121,1.45409,1.29374,0.71382,0.74921,0.76182,0.66803,0.64332,0.87644,0.94666,0.0648535,0.00385351,0.00385351
9,22.3266,1.13088,1.24324,1.22801,0.7766,0.79167,0.82004,0.6937,0.60599,0.85673,0.92637,0.0603316,0.00433157,0.00433157
10,24.6096,1.04034,1.16455,1.09035,0.8286,0.84028,0.87147,0.72028,0.65787,0.91272,0.89468,0.0558037,0.00480369,0.00480369
11,26.7515,0.8281,1.88997,0.94542,0.90766,0.8419,0.89459,0.72246,0.70095,0.60142,0.913,0.0512692,0.00526917,0.00526917
12,28.9326,1.00876,1.27361,1.17712,0.91889,0.875,0.90586,0.73988,0.73557,0.7584,0.92023,0.0467273,0.00572734,0.00572734
13,31.064,0.94407,1.14992,1.09182,0.88183,0.79167,0.82817,0.72792,0.62983,0.63443,0.89275,0.0421775,0.00617753,0.00617753
14,33.2732,0.84023,1.76515,0.93321,0.81082,0.88952,0.88418,0.68895,0.76853,0.77017,0.92197,0.0376191,0.00661909,0.00661909
15,35.4447,0.92088,1.05122,1.11035,0.83317,0.70251,0.79362,0.66387,0.77097,1.46965,0.91004,0.0330514,0.00705138,0.00705138
16,37.5554,1.06025,1.6985,1.1491,0.75429,0.85417,0.88732,0.72854,0.75929,1.52397,0.90587,0.0284738,0.00747378,0.00747378
17,39.6655,1.07743,1.27669,1.1149,0.85283,0.75381,0.89349,0.73309,0.67243,0.76311,0.89653,0.0238857,0.00788568,0.00788568
18,41.9036,0.94916,1.68461,1.07215,0.91198,0.84607,0.91288,0.74031,0.74618,1.24031,0.91144,0.0192865,0.0082865,0.0082865
19,44.1249,1.10011,1.84494,1.26395,0.96882,0.73521,0.84921,0.67341,0.80321,0.92417,0.90849,0.0146757,0.00867566,0.00867566
20,46.326,0.99767,1.22285,1.04449,0.79993,0.875,0.86911,0.71789,0.60831,2.0626,0.87844,0.0100526,0.00905261,0.00905261
21,48.4434,1.04803,1.61058,1.16632,0.9793,0.64952,0.80791,0.69448,0.68922,1.73699,0.863,0.00905463,0.00905463,0.00905463
22,50.5611,0.99893,1.45616,1.05458,0.97169,0.77083,0.827,0.65534,0.89925,1.46552,0.90801,0.00896127,0.00896127,0.00896127
23,52.7084,1.34277,2.54518,1.27015,0.74973,0.8685,0.83964,0.64658,0.89808,1.25771,0.90315,0.00886404,0.00886404,0.00886404
24,54.9165,0.98783,1.19264,1.11248,0.96605,0.875,0.92028,0.72325,0.75885,0.9321,0.89469,0.00876305,0.00876305,0.00876305
25,57.1288,0.99531,1.09298,1.06435,0.87225,0.93604,0.89516,0.69148,0.82785,1.23808,0.92781,0.00865839,0.00865839,0.00865839
26,59.2504,1.07916,1.26194,1.18688,0.85034,0.89583,0.89028,0.73306,0.6508,0.74966,0.89565,0.00855018,0.00855018,0.00855018
27,61.3946,1.14717,1.63547,1.46157,0.88255,0.91667,0.92521,0.73294,0.7837,1.10389,0.926,0.00843851,0.00843851,0.00843851
28,63.673,0.86805,0.90057,1.06787,0.84105,0.85417,0.86545,0.71742,0.70025,0.7063,0.89208,0.00832349,0.00832349,0.00832349
29,65.9205,1.08027,1.24997,1.14483,0.8779,0.86119,0.89965,0.65503,0.94486,0.97088,0.92656,0.00820525,0.00820525,0.00820525
30,68.0307,0.98289,0.84424,1.05012,0.97092,0.91667,0.94527,0.75211,0.65191,0.66893,0.86509,0.00808389,0.00808389,0.00808389
31,70.2334,1.1376,1.02834,1.18443,0.85861,0.85363,0.8783,0.72094,0.70468,0.73139,0.88832,0.00795954,0.00795954,0.00795954
32,72.3489,0.77602,0.97212,0.87256,0.91198,0.97022,0.95329,0.76547,0.69572,0.72763,0.87659,0.00783231,0.00783231,0.00783231
33,74.5939,0.99207,0.84403,1.05952,0.95291,0.89583,0.94003,0.73972,0.80818,0.80033,0.90895,0.00770234,0.00770234,0.00770234
34,76.7342,0.97171,0.81263,1.07078,0.94593,0.89107,0.95412,0.75698,0.71501,0.69028,0.90071,0.00756976,0.00756976,0.00756976
35,78.8144,1.04473,0.83155,1.10547,0.88929,0.79093,0.86396,0.67876,0.87736,0.68681,0.94978,0.00743468,0.00743468,0.00743468
36,80.9075,0.927,0.76652,1.00705,0.94239,0.94332,0.95174,0.78821,0.67156,0.59693,0.89978,0.00729725,0.00729725,0.00729725
37,83.1318,1.05806,0.8496,1.10642,0.84409,0.89583,0.90885,0.74093,0.67273,0.57351,0.88901,0.00715761,0.00715761,0.00715761
38,85.3744,0.93693,0.79704,1.1414,0.88397,0.89583,0.91898,0.75493,0.73177,0.62497,0.8999,0.00701588,0.00701588,0.00701588
39,87.5285,0.84501,0.69453,1.04775,0.92429,0.94881,0.96576,0.76489,0.76426,0.59175,0.88849,0.00687222,0.00687222,0.00687222
40,89.637,0.88111,0.83101,1.03124,0.92543,0.95833,0.96642,0.77452,0.69201,0.64867,0.88109,0.00672675,0.00672675,0.00672675
